Block bootstrap over temporal blocks of the chronological test set, 2000 replicates. Overlapping intervals do not support a ranking.

dataset	regime	detector	PR-AUC [95% CI]	ci_width
ULB	U (label-free)	IsolationForest	0.0546 [0.0314, 0.0910]	0.0596
ULB	U (label-free)	LOF	0.0763 [0.0301, 0.1594]	0.1293
ULB	U (label-free)	OneClassSVM	0.0839 [0.0517, 0.1304]	0.0786
ULB	U (label-free)	DBSCAN	0.0247 [0.0160, 0.0375]	0.0215
ULB	U (label-free)	KMeans	0.0679 [0.0418, 0.1043]	0.0625
ULB	U (label-free)	Ensemble	0.0695 [0.0433, 0.1068]	0.0635
ULB	N (normal-only)	IsolationForest	0.0369 [0.0221, 0.0607]	0.0386
ULB	N (normal-only)	LOF	0.6032 [0.4458, 0.7512]	0.3054
ULB	N (normal-only)	OneClassSVM	0.1248 [0.0809, 0.1837]	0.1028
ULB	N (normal-only)	DBSCAN	0.0250 [0.0163, 0.0378]	0.0215
ULB	N (normal-only)	KMeans	0.0673 [0.0409, 0.1062]	0.0654
ULB	N (normal-only)	Ensemble	0.1400 [0.0883, 0.2112]	0.1229
PaySim	U (label-free)	IsolationForest	0.0161 [0.0089, 0.0246]	0.0157
PaySim	U (label-free)	LOF	0.0031 [0.0017, 0.0045]	0.0028
PaySim	U (label-free)	OneClassSVM	0.1054 [0.0536, 0.1719]	0.1184
PaySim	U (label-free)	DBSCAN	0.0248 [0.0128, 0.0385]	0.0257
PaySim	U (label-free)	KMeans	0.0419 [0.0217, 0.0673]	0.0455
PaySim	U (label-free)	Ensemble	0.1502 [0.0922, 0.2073]	0.1151
PaySim	N (normal-only)	IsolationForest	0.0165 [0.0091, 0.0255]	0.0165
PaySim	N (normal-only)	LOF	0.0030 [0.0017, 0.0045]	0.0028
PaySim	N (normal-only)	OneClassSVM	0.1018 [0.0527, 0.1637]	0.111
PaySim	N (normal-only)	DBSCAN	0.0248 [0.0128, 0.0385]	0.0257
PaySim	N (normal-only)	KMeans	0.0458 [0.0237, 0.0726]	0.0489
PaySim	N (normal-only)	Ensemble	0.1706 [0.1101, 0.2268]	0.1167
