ULB, chronological test set. All configurations share one decision rule: the (1-rho) quantile of validation scores, rho=0.005. PR-AUC is the primary metric; ROC-AUC is reported only as a complementary measure of ranking.

regime	detector	Precision	Recall	F1	ROC_AUC	PR_AUC	TP	FP	n_alerts
N (normal-only)	DBSCAN	0.0	0.0	0.0	0.9437	0.025	0	179	179
N (normal-only)	Ensemble	0.2176	0.56	0.3134	0.9639	0.14	42	151	193
N (normal-only)	IsolationForest	0.0272	0.0667	0.0386	0.9442	0.0369	5	179	184
N (normal-only)	KMeans	0.0894	0.2133	0.126	0.9671	0.0673	16	163	179
N (normal-only)	LOF	0.0932	0.7867	0.1667	0.9266	0.6032	59	574	633
N (normal-only)	OneClassSVM	0.1939	0.5067	0.2804	0.9539	0.1248	38	158	196
O (oracle, upper bound)	DBSCAN	0.0	0.0	0.0	0.9382	0.0247	0	75	75
O (oracle, upper bound)	Ensemble	0.0	0.0	0.0	0.9585	0.0695	0	73	73
O (oracle, upper bound)	IsolationForest	0.0	0.0	0.0	0.9484	0.0546	0	83	83
O (oracle, upper bound)	KMeans	0.0	0.0	0.0	0.9668	0.0679	0	75	75
O (oracle, upper bound)	LOF	0.1023	0.2933	0.1517	0.8178	0.0763	22	193	215
O (oracle, upper bound)	OneClassSVM	0.0787	0.0933	0.0854	0.9473	0.0838	7	82	89
U (label-free)	DBSCAN	0.0	0.0	0.0	0.9382	0.0247	0	175	175
U (label-free)	Ensemble	0.1117	0.28	0.1597	0.9585	0.0695	21	167	188
U (label-free)	IsolationForest	0.0655	0.1467	0.0905	0.9484	0.0546	11	157	168
U (label-free)	KMeans	0.0909	0.24	0.1319	0.9668	0.0679	18	180	198
U (label-free)	LOF	0.0431	0.36	0.077	0.8178	0.0763	27	599	626
U (label-free)	OneClassSVM	0.1313	0.3467	0.1905	0.9474	0.0839	26	172	198
