dataset,regime,detector,random,tail,rule_effect,ratio
PaySim,N (normal-only),DBSCAN,0.0559,0.1521,-0.0962,0.4
PaySim,N (normal-only),LOF,0.0031,0.0025,0.0007,1.3
PaySim,N (normal-only),OneClassSVM,0.1045,0.1341,-0.0295,0.8
PaySim,U (label-free),DBSCAN,0.038,0.0583,-0.0204,0.7
PaySim,U (label-free),LOF,0.003,0.0024,0.0006,1.3
PaySim,U (label-free),OneClassSVM,0.0665,0.0842,-0.0177,0.8
ULB,N (normal-only),DBSCAN,0.0249,0.0267,-0.0018,0.9
ULB,N (normal-only),LOF,0.5572,0.0036,0.5536,155.0
ULB,N (normal-only),OneClassSVM,0.1328,0.1001,0.0327,1.3
ULB,U (label-free),DBSCAN,0.0259,0.0267,-0.0009,1.0
ULB,U (label-free),LOF,0.0488,0.0011,0.0476,42.4
ULB,U (label-free),OneClassSVM,0.0646,0.0559,0.0087,1.2
