dataset,regime,detector,selected_config,val_PR_AUC,test_PR_AUC,test_min,test_max,test_spread,n_tied_on_validation,tied_configs
PaySim,N,DBSCAN,"{""min_samples"": 25}",0.0191,0.2169,0.0663,0.2169,0.1506,3,"{""min_samples"": 25} | {""eps_scale"": 0.5} | {""eps_scale"": 0.25}"
PaySim,N,IsolationForest,"{""n_estimators"": 200}",0.0021,0.0687,0.0512,0.0709,0.0197,2,"{""n_estimators"": 200} | {""n_estimators"": 400}"
PaySim,N,KMeans,"{""k"": 32}",0.0114,0.1378,0.075,0.1378,0.0628,1,"{""k"": 32}"
PaySim,N,LOF,"{""n_neighbors"": 5}",0.0004,0.0068,0.0068,0.0078,0.001,5,"{""n_neighbors"": 5} | {""n_neighbors"": 10} | {""n_neighbors"": 20} | {""n_neighbors"": 50} | {""n_neighbors"": 100}"
PaySim,N,OneClassSVM,"{""gamma"": 0.1}",0.0226,0.2164,0.1611,0.2185,0.0574,1,"{""gamma"": 0.1}"
PaySim,U,DBSCAN,"{""eps_scale"": 0.5}",0.0192,0.2219,0.0663,0.2219,0.1556,2,"{""eps_scale"": 0.5} | {""eps_scale"": 0.25}"
PaySim,U,IsolationForest,"{""n_estimators"": 200}",0.0022,0.0644,0.0573,0.0644,0.0071,1,"{""n_estimators"": 200}"
PaySim,U,KMeans,"{""k"": 32}",0.0113,0.1438,0.0751,0.1438,0.0687,1,"{""k"": 32}"
PaySim,U,LOF,"{""n_neighbors"": 5}",0.0004,0.0069,0.0069,0.008,0.0011,5,"{""n_neighbors"": 5} | {""n_neighbors"": 10} | {""n_neighbors"": 20} | {""n_neighbors"": 50} | {""n_neighbors"": 100}"
PaySim,U,OneClassSVM,"{""gamma"": 0.1}",0.0235,0.2465,0.1499,0.2465,0.0966,1,"{""gamma"": 0.1}"
ULB,N,DBSCAN,"{""eps_scale"": 4.0}",0.0151,0.029,0.0245,0.029,0.0045,1,"{""eps_scale"": 4.0}"
ULB,N,IsolationForest,"{""n_estimators"": 400}",0.023,0.0401,0.0337,0.0401,0.0064,1,"{""n_estimators"": 400}"
ULB,N,KMeans,"{""k"": 32}",0.0485,0.1021,0.0451,0.1048,0.0597,1,"{""k"": 32}"
ULB,N,LOF,"{""n_neighbors"": 20}",0.6307,0.6032,0.0162,0.6032,0.587,1,"{""n_neighbors"": 20}"
ULB,N,OneClassSVM,"{""gamma"": ""scale""}",0.066,0.1248,0.124,0.1249,0.0009,2,"{""gamma"": ""scale""} | {""gamma"": 0.1}"
ULB,U,DBSCAN,"{""min_samples"": 5}",0.0321,0.0791,0.0245,0.0791,0.0546,3,"{""min_samples"": 5} | {""eps_scale"": 0.5} | {""eps_scale"": 0.25}"
ULB,U,IsolationForest,"{""n_estimators"": 100}",0.0272,0.0518,0.0518,0.0546,0.0028,2,"{""n_estimators"": 100} | {""n_estimators"": 200}"
ULB,U,KMeans,"{""k"": 16}",0.0355,0.0794,0.0329,0.0794,0.0465,1,"{""k"": 16}"
ULB,U,LOF,"{""n_neighbors"": 50}",0.1969,0.3175,0.0014,0.3175,0.3161,1,"{""n_neighbors"": 50}"
ULB,U,OneClassSVM,"{""gamma"": ""scale""}",0.0379,0.0839,0.0699,0.0856,0.0157,1,"{""gamma"": ""scale""}"
