dataset,regime,detector,pr_mean,pr_std,pr_min,pr_max,prlift_mean,prlift_min,prlift_max,n,cv
PaySim,N,DBSCAN,0.0495,0.105,0.0016,0.2373,9.683,2.7443,32.5426,5,2.122
PaySim,N,Ensemble,0.1089,0.1415,0.0064,0.3439,72.9488,11.6215,218.1405,5,1.2991
PaySim,N,IsolationForest,0.0101,0.0162,0.0019,0.0389,4.6001,2.956,7.1456,5,1.6056
PaySim,N,KMeans,0.0182,0.0299,0.0026,0.0715,8.0219,4.602,12.8569,5,1.646
PaySim,N,LOF,0.0018,0.0025,0.0006,0.0063,0.9716,0.8614,1.0557,5,1.3983
PaySim,N,OneClassSVM,0.0668,0.0945,0.0052,0.231,38.8718,9.4473,98.5443,5,1.4134
PaySim,O,DBSCAN,0.0093,0.0153,0.0016,0.0366,4.1816,2.7449,6.0782,5,1.6339
PaySim,O,Ensemble,0.0826,0.1147,0.0062,0.2809,49.5716,10.8589,125.6936,5,1.3882
PaySim,O,IsolationForest,0.0106,0.0181,0.0016,0.043,4.2222,2.8726,5.8987,5,1.7182
PaySim,O,KMeans,0.0134,0.0193,0.0026,0.0477,7.349,4.5298,12.8527,5,1.4394
PaySim,O,LOF,0.0018,0.0025,0.0006,0.0062,0.9703,0.8456,1.0773,5,1.3889
PaySim,O,OneClassSVM,0.0421,0.064,0.0038,0.1552,21.7594,5.1165,41.3139,5,1.5208
PaySim,U,DBSCAN,0.0093,0.0153,0.0016,0.0366,4.1816,2.7449,6.0782,5,1.6339
PaySim,U,Ensemble,0.0823,0.1147,0.0064,0.2809,49.0929,10.9921,123.096,5,1.3927
PaySim,U,IsolationForest,0.0106,0.0181,0.0016,0.043,4.2222,2.8726,5.8987,5,1.7182
PaySim,U,KMeans,0.0134,0.0193,0.0026,0.0477,7.349,4.5298,12.8527,5,1.4394
PaySim,U,LOF,0.0018,0.0025,0.0006,0.0062,0.9703,0.8456,1.0773,5,1.3889
PaySim,U,OneClassSVM,0.0466,0.0724,0.0038,0.1747,23.4013,4.9899,46.3391,5,1.5531
ULB,N,DBSCAN,0.0787,0.1029,0.014,0.1974,42.428,14.0198,94.5021,3,1.308
ULB,N,Ensemble,0.2866,0.1292,0.1425,0.3921,206.9498,108.189,324.9968,3,0.4508
ULB,N,IsolationForest,0.1413,0.1948,0.021,0.3661,74.7536,21.0037,175.235,3,1.3784
ULB,N,KMeans,0.1534,0.1819,0.0304,0.3623,85.0123,30.4213,173.4192,3,1.1859
ULB,N,LOF,0.2353,0.2849,0.0024,0.553,190.5408,1.1603,419.9689,3,1.2107
ULB,N,OneClassSVM,0.18,0.1287,0.0993,0.3285,113.9206,85.3266,157.2428,3,0.7151
ULB,O,DBSCAN,0.0802,0.1019,0.0143,0.1976,43.5806,14.2491,94.5982,3,1.2701
ULB,O,Ensemble,0.051,0.0025,0.0488,0.0537,38.4383,23.361,53.6222,3,0.0488
ULB,O,IsolationForest,0.1375,0.1694,0.0255,0.3323,75.3264,25.4567,159.0831,3,1.232
ULB,O,KMeans,0.0729,0.0605,0.0268,0.1414,44.2821,26.8005,67.6734,3,0.8298
ULB,O,LOF,0.0219,0.0357,0.0012,0.0631,16.6181,0.5922,47.9318,3,1.633
ULB,O,OneClassSVM,0.0945,0.0733,0.0314,0.1749,57.9224,31.3436,83.738,3,0.7752
ULB,U,DBSCAN,0.0802,0.1019,0.0143,0.1976,43.5806,14.2491,94.5982,3,1.2701
ULB,U,Ensemble,0.051,0.0025,0.0488,0.0537,38.4418,23.3611,53.6216,3,0.0488
ULB,U,IsolationForest,0.1375,0.1694,0.0255,0.3323,75.3264,25.4567,159.0831,3,1.232
ULB,U,KMeans,0.0729,0.0605,0.0268,0.1414,44.2821,26.8005,67.6734,3,0.8298
ULB,U,LOF,0.0219,0.0357,0.0012,0.0631,16.6181,0.5922,47.9318,3,1.633
ULB,U,OneClassSVM,0.0945,0.0734,0.0313,0.175,57.9234,31.3267,83.7558,3,0.7763
