dataset,regime,detector,fold,PR_AUC,prevalence,pr_lift
PaySim,N,DBSCAN,0,0.0016,0.0006,2.8856
PaySim,N,DBSCAN,1,0.0021,0.0008,2.7443
PaySim,N,DBSCAN,2,0.0026,0.0006,4.1688
PaySim,N,DBSCAN,3,0.0038,0.0006,6.0736
PaySim,N,DBSCAN,4,0.2373,0.0073,32.5426
PaySim,N,Ensemble,0,0.0064,0.0006,11.6215
PaySim,N,Ensemble,1,0.011,0.0008,14.4502
PaySim,N,Ensemble,2,0.0461,0.0006,73.38
PaySim,N,Ensemble,3,0.1371,0.0006,218.1405
PaySim,N,Ensemble,4,0.3439,0.0073,47.1516
PaySim,N,IsolationForest,0,0.0019,0.0006,3.345
PaySim,N,IsolationForest,1,0.0023,0.0008,2.956
PaySim,N,IsolationForest,2,0.0027,0.0006,4.2246
PaySim,N,IsolationForest,3,0.0045,0.0006,7.1456
PaySim,N,IsolationForest,4,0.0389,0.0073,5.3293
PaySim,N,KMeans,0,0.0026,0.0006,4.7698
PaySim,N,KMeans,1,0.0035,0.0008,4.602
PaySim,N,KMeans,2,0.0051,0.0006,8.0832
PaySim,N,KMeans,3,0.0081,0.0006,12.8569
PaySim,N,KMeans,4,0.0715,0.0073,9.7978
PaySim,N,LOF,0,0.0006,0.0006,1.0001
PaySim,N,LOF,1,0.0008,0.0008,0.9927
PaySim,N,LOF,2,0.0006,0.0006,0.9479
PaySim,N,LOF,3,0.0007,0.0006,1.0557
PaySim,N,LOF,4,0.0063,0.0073,0.8614
PaySim,N,OneClassSVM,0,0.0052,0.0006,9.4473
PaySim,N,OneClassSVM,1,0.0091,0.0008,11.9159
PaySim,N,OneClassSVM,2,0.0269,0.0006,42.7745
PaySim,N,OneClassSVM,3,0.062,0.0006,98.5443
PaySim,N,OneClassSVM,4,0.231,0.0073,31.6772
PaySim,O,DBSCAN,0,0.0016,0.0006,2.8821
PaySim,O,DBSCAN,1,0.0021,0.0008,2.7449
PaySim,O,DBSCAN,2,0.0026,0.0006,4.18
PaySim,O,DBSCAN,3,0.0038,0.0006,6.0782
PaySim,O,DBSCAN,4,0.0366,0.0073,5.0229
PaySim,O,Ensemble,0,0.0062,0.0006,11.1909
PaySim,O,Ensemble,1,0.0083,0.0008,10.8589
PaySim,O,Ensemble,2,0.0387,0.0006,61.5972
PaySim,O,Ensemble,3,0.079,0.0006,125.6936
PaySim,O,Ensemble,4,0.2809,0.0073,38.5172
PaySim,O,IsolationForest,0,0.0016,0.0006,2.8726
PaySim,O,IsolationForest,1,0.0023,0.0008,2.9836
PaySim,O,IsolationForest,2,0.0027,0.0006,4.2779
PaySim,O,IsolationForest,3,0.0032,0.0006,5.0783
PaySim,O,IsolationForest,4,0.043,0.0073,5.8987
PaySim,O,KMeans,0,0.0026,0.0006,4.7678
PaySim,O,KMeans,1,0.0035,0.0008,4.5298
PaySim,O,KMeans,2,0.0051,0.0006,8.06
PaySim,O,KMeans,3,0.0081,0.0006,12.8527
PaySim,O,KMeans,4,0.0477,0.0073,6.5348
PaySim,O,LOF,0,0.0006,0.0006,1.0112
PaySim,O,LOF,1,0.0008,0.0008,0.9978
PaySim,O,LOF,2,0.0006,0.0006,0.9197
PaySim,O,LOF,3,0.0007,0.0006,1.0773
PaySim,O,LOF,4,0.0062,0.0073,0.8456
PaySim,O,OneClassSVM,0,0.0038,0.0006,6.8073
PaySim,O,OneClassSVM,1,0.0039,0.0008,5.1165
PaySim,O,OneClassSVM,2,0.0216,0.0006,34.2787
PaySim,O,OneClassSVM,3,0.026,0.0006,41.3139
PaySim,O,OneClassSVM,4,0.1552,0.0073,21.2807
PaySim,U,DBSCAN,0,0.0016,0.0006,2.8821
PaySim,U,DBSCAN,1,0.0021,0.0008,2.7449
PaySim,U,DBSCAN,2,0.0026,0.0006,4.18
PaySim,U,DBSCAN,3,0.0038,0.0006,6.0782
PaySim,U,DBSCAN,4,0.0366,0.0073,5.0229
PaySim,U,Ensemble,0,0.0064,0.0006,11.4812
PaySim,U,Ensemble,1,0.0084,0.0008,10.9921
PaySim,U,Ensemble,2,0.0386,0.0006,61.3794
PaySim,U,Ensemble,3,0.0774,0.0006,123.096
PaySim,U,Ensemble,4,0.2809,0.0073,38.5158
PaySim,U,IsolationForest,0,0.0016,0.0006,2.8726
PaySim,U,IsolationForest,1,0.0023,0.0008,2.9836
PaySim,U,IsolationForest,2,0.0027,0.0006,4.2779
PaySim,U,IsolationForest,3,0.0032,0.0006,5.0783
PaySim,U,IsolationForest,4,0.043,0.0073,5.8987
PaySim,U,KMeans,0,0.0026,0.0006,4.7678
PaySim,U,KMeans,1,0.0035,0.0008,4.5298
PaySim,U,KMeans,2,0.0051,0.0006,8.06
PaySim,U,KMeans,3,0.0081,0.0006,12.8527
PaySim,U,KMeans,4,0.0477,0.0073,6.5348
PaySim,U,LOF,0,0.0006,0.0006,1.0112
PaySim,U,LOF,1,0.0008,0.0008,0.9978
PaySim,U,LOF,2,0.0006,0.0006,0.9197
PaySim,U,LOF,3,0.0007,0.0006,1.0773
PaySim,U,LOF,4,0.0062,0.0073,0.8456
PaySim,U,OneClassSVM,0,0.0047,0.0006,8.5703
PaySim,U,OneClassSVM,1,0.0038,0.0008,4.9899
PaySim,U,OneClassSVM,2,0.0208,0.0006,33.1456
PaySim,U,OneClassSVM,3,0.0291,0.0006,46.3391
PaySim,U,OneClassSVM,4,0.1747,0.0073,23.9618
ULB,N,DBSCAN,0,0.1974,0.0021,94.5021
ULB,N,DBSCAN,1,0.014,0.001,14.0198
