dataset,regime,rival,is_best_single,AP_ensemble,AP_rival,diff,ci_lo,ci_hi,P_ensemble_ahead,verdict
ULB,U,IsolationForest,0,0.0695,0.0546,0.0152,-0.0197,0.0466,0.8425,within noise
ULB,U,LOF,0,0.0695,0.0763,-0.0125,-0.0757,0.0337,0.354,within noise
ULB,U,OneClassSVM,1,0.0695,0.0839,-0.0155,-0.0477,0.0127,0.1465,within noise
ULB,U,DBSCAN,0,0.0695,0.0247,0.0471,0.0206,0.0775,1.0,ensemble ahead
ULB,U,KMeans,0,0.0695,0.0679,0.0017,-0.0328,0.0339,0.5575,within noise
ULB,N,IsolationForest,0,0.14,0.0369,0.1068,0.0657,0.1553,1.0,ensemble ahead
ULB,N,LOF,1,0.14,0.6032,-0.4647,-0.5813,-0.3407,0.0,ensemble behind
ULB,N,OneClassSVM,0,0.14,0.1248,0.0163,-0.0027,0.0391,0.9495,within noise
ULB,N,DBSCAN,0,0.14,0.025,0.1198,0.0721,0.1762,1.0,ensemble ahead
ULB,N,KMeans,0,0.14,0.0673,0.075,0.0441,0.1129,1.0,ensemble ahead
PaySim,U,IsolationForest,0,0.1502,0.0161,0.1336,0.0821,0.1838,1.0,ensemble ahead
PaySim,U,LOF,0,0.1502,0.0031,0.1468,0.0901,0.2033,1.0,ensemble ahead
PaySim,U,OneClassSVM,1,0.1502,0.1054,0.0426,0.0157,0.0648,0.998,ensemble ahead
PaySim,U,DBSCAN,0,0.1502,0.0248,0.1249,0.078,0.1697,1.0,ensemble ahead
PaySim,U,KMeans,0,0.1502,0.0419,0.1072,0.0691,0.1413,1.0,ensemble ahead
PaySim,N,IsolationForest,0,0.1706,0.0165,0.1533,0.1001,0.2013,1.0,ensemble ahead
PaySim,N,LOF,0,0.1706,0.003,0.167,0.1082,0.222,1.0,ensemble ahead
PaySim,N,OneClassSVM,1,0.1706,0.1018,0.0671,0.0384,0.0945,1.0,ensemble ahead
PaySim,N,DBSCAN,0,0.1706,0.0248,0.1451,0.0958,0.1883,1.0,ensemble ahead
PaySim,N,KMeans,0,0.1706,0.0458,0.1237,0.0849,0.1577,1.0,ensemble ahead
