dataset,regime,scheme,PR_AUC,F1,Precision,Recall,n_alerts,best_member
ULB,U,ecdf_mean,0.0695,0.1597,0.1117,0.28,188.0,
ULB,U,z_mean,0.0829,0.1311,0.0947,0.2133,169.0,
ULB,U,ap_weighted,0.0724,0.202,0.1351,0.4,222.0,
ULB,U,ecdf_max,0.0796,0.1151,0.0724,0.28,290.0,
ULB,U,stacking_SUPERVISED,0.043,0.1252,0.0723,0.4667,484.0,
ULB,U,best_single,0.0839,,,,,OneClassSVM
ULB,N,ecdf_mean,0.14,0.3134,0.2176,0.56,193.0,
ULB,N,z_mean,0.1916,0.3182,0.2222,0.56,189.0,
ULB,N,ap_weighted,0.344,0.3217,0.2013,0.8,298.0,
ULB,N,ecdf_max,0.4068,0.3232,0.2095,0.7067,253.0,
ULB,N,stacking_SUPERVISED,0.0653,0.1818,0.103,0.7733,563.0,
ULB,N,best_single,0.6032,,,,,LOF
PaySim,U,ecdf_mean,0.1502,0.0908,0.2456,0.0557,965.0,
PaySim,U,z_mean,0.0089,0.01,0.006,0.0294,20841.0,
PaySim,U,ap_weighted,0.09,0.0744,0.2066,0.0454,934.0,
PaySim,U,ecdf_max,0.0043,0.0015,0.0008,0.0635,347955.0,
PaySim,U,stacking_SUPERVISED,0.0862,0.1001,0.1104,0.0914,3522.0,
PaySim,U,best_single,0.1054,,,,,OneClassSVM
PaySim,N,ecdf_mean,0.1706,0.1492,0.3147,0.0978,1322.0,
PaySim,N,z_mean,0.0085,0.0075,0.0043,0.0308,30748.0,
PaySim,N,ap_weighted,0.1106,0.0995,0.2631,0.0614,992.0,
PaySim,N,ecdf_max,0.0042,0.0017,0.0009,0.0759,364953.0,
PaySim,N,stacking_SUPERVISED,0.152,0.1168,0.3344,0.0708,900.0,
PaySim,N,best_single,0.1018,,,,,OneClassSVM
