dataset,regime,detector,alerts_per_10k,k,recall,precision
ULB,U,IsolationForest,1,5,0.0,0.0
ULB,U,LOF,1,5,0.0,0.0
ULB,U,OneClassSVM,1,5,0.0,0.0
ULB,U,DBSCAN,1,5,0.0,0.0
ULB,U,KMeans,1,5,0.0,0.0
ULB,U,Ensemble,1,5,0.0,0.0
ULB,U,IsolationForest,5,28,0.0,0.0
ULB,U,LOF,5,28,0.12,0.3214
ULB,U,OneClassSVM,5,28,0.0,0.0
ULB,U,DBSCAN,5,28,0.0,0.0
ULB,U,KMeans,5,28,0.0,0.0
ULB,U,Ensemble,5,28,0.0,0.0
ULB,U,IsolationForest,10,56,0.0,0.0
ULB,U,LOF,10,56,0.1467,0.1964
ULB,U,OneClassSVM,10,56,0.0,0.0
ULB,U,DBSCAN,10,56,0.0,0.0
ULB,U,KMeans,10,56,0.0,0.0
ULB,U,Ensemble,10,56,0.0,0.0
ULB,U,IsolationForest,50,284,0.3867,0.1021
ULB,U,LOF,50,284,0.3067,0.081
ULB,U,OneClassSVM,50,284,0.4133,0.1092
ULB,U,DBSCAN,50,284,0.0133,0.0035
ULB,U,KMeans,50,284,0.4133,0.1092
ULB,U,Ensemble,50,284,0.3733,0.0986
ULB,N,IsolationForest,1,5,0.0,0.0
ULB,N,LOF,1,5,0.0533,0.8
ULB,N,OneClassSVM,1,5,0.0,0.0
ULB,N,DBSCAN,1,5,0.0,0.0
ULB,N,KMeans,1,5,0.0,0.0
ULB,N,Ensemble,1,5,0.0,0.0
ULB,N,IsolationForest,5,28,0.0,0.0
ULB,N,LOF,5,28,0.3333,0.8929
ULB,N,OneClassSVM,5,28,0.0,0.0
ULB,N,DBSCAN,5,28,0.0,0.0
ULB,N,KMeans,5,28,0.0,0.0
ULB,N,Ensemble,5,28,0.0,0.0
ULB,N,IsolationForest,10,56,0.0,0.0
ULB,N,LOF,10,56,0.56,0.75
ULB,N,OneClassSVM,10,56,0.0,0.0
ULB,N,DBSCAN,10,56,0.0,0.0
ULB,N,KMeans,10,56,0.0,0.0
ULB,N,Ensemble,10,56,0.0133,0.0179
ULB,N,IsolationForest,50,284,0.16,0.0423
ULB,N,LOF,50,284,0.76,0.2007
ULB,N,OneClassSVM,50,284,0.6667,0.1761
ULB,N,DBSCAN,50,284,0.0133,0.0035
ULB,N,KMeans,50,284,0.4,0.1056
ULB,N,Ensemble,50,284,0.6533,0.1725
PaySim,U,IsolationForest,1,127,0.0005,0.0157
PaySim,U,LOF,1,127,0.0,0.0
PaySim,U,OneClassSVM,1,127,0.0042,0.1417
PaySim,U,DBSCAN,1,127,0.0002,0.0079
PaySim,U,KMeans,1,127,0.0002,0.0079
PaySim,U,Ensemble,1,127,0.0021,0.0709
PaySim,U,IsolationForest,5,636,0.0061,0.0409
PaySim,U,LOF,5,636,0.0,0.0
PaySim,U,OneClassSVM,5,636,0.0421,0.2814
PaySim,U,DBSCAN,5,636,0.0071,0.0472
PaySim,U,KMeans,5,636,0.0254,0.1698
PaySim,U,Ensemble,5,636,0.0367,0.2453
PaySim,U,IsolationForest,10,1272,0.0099,0.033
PaySim,U,LOF,10,1272,0.0,0.0
PaySim,U,OneClassSVM,10,1272,0.0795,0.2657
PaySim,U,DBSCAN,10,1272,0.0313,0.1046
PaySim,U,KMeans,10,1272,0.0362,0.1211
PaySim,U,Ensemble,10,1272,0.0804,0.2689
PaySim,U,IsolationForest,50,6362,0.0468,0.0313
PaySim,U,LOF,50,6362,0.0,0.0
PaySim,U,OneClassSVM,50,6362,0.3383,0.2262
PaySim,U,DBSCAN,50,6362,0.1105,0.0739
PaySim,U,KMeans,50,6362,0.1316,0.088
PaySim,U,Ensemble,50,6362,0.382,0.2554
PaySim,N,IsolationForest,1,127,0.0009,0.0315
PaySim,N,LOF,1,127,0.0,0.0
PaySim,N,OneClassSVM,1,127,0.0047,0.1575
PaySim,N,DBSCAN,1,127,0.0002,0.0079
PaySim,N,KMeans,1,127,0.0002,0.0079
PaySim,N,Ensemble,1,127,0.0054,0.1811
PaySim,N,IsolationForest,5,636,0.0063,0.0425
PaySim,N,LOF,5,636,0.0,0.0
PaySim,N,OneClassSVM,5,636,0.0437,0.2925
PaySim,N,DBSCAN,5,636,0.0071,0.0472
PaySim,N,KMeans,5,636,0.0247,0.1651
PaySim,N,Ensemble,5,636,0.0571,0.3821
PaySim,N,IsolationForest,10,1272,0.008,0.0267
PaySim,N,LOF,10,1272,0.0,0.0
PaySim,N,OneClassSVM,10,1272,0.0813,0.272
PaySim,N,DBSCAN,10,1272,0.0313,0.1046
PaySim,N,KMeans,10,1272,0.0362,0.1211
PaySim,N,Ensemble,10,1272,0.0936,0.3129
PaySim,N,IsolationForest,50,6362,0.0287,0.0192
PaySim,N,LOF,50,6362,0.0,0.0
PaySim,N,OneClassSVM,50,6362,0.3298,0.2205
PaySim,N,DBSCAN,50,6362,0.1105,0.0739
PaySim,N,KMeans,50,6362,0.1476,0.0987
PaySim,N,Ensemble,50,6362,0.3912,0.2616
