dataset,regime,detector,PR_AUC,ci_lo,ci_med,ci_hi,ci_width
ULB,U,IsolationForest,0.0546,0.0314,0.0564,0.091,0.0596
ULB,U,LOF,0.0763,0.0301,0.0821,0.1594,0.1293
ULB,U,OneClassSVM,0.0839,0.0517,0.0872,0.1304,0.0786
ULB,U,DBSCAN,0.0247,0.016,0.0255,0.0375,0.0215
ULB,U,KMeans,0.0679,0.0418,0.0702,0.1043,0.0625
ULB,U,Ensemble,0.0695,0.0433,0.0716,0.1068,0.0635
ULB,N,IsolationForest,0.0369,0.0221,0.0381,0.0607,0.0386
ULB,N,LOF,0.6032,0.4458,0.6126,0.7512,0.3054
ULB,N,OneClassSVM,0.1248,0.0809,0.128,0.1837,0.1028
ULB,N,DBSCAN,0.025,0.0163,0.0258,0.0378,0.0215
ULB,N,KMeans,0.0673,0.0409,0.0696,0.1062,0.0654
ULB,N,Ensemble,0.14,0.0883,0.1445,0.2112,0.1229
PaySim,U,IsolationForest,0.0161,0.0089,0.016,0.0246,0.0157
PaySim,U,LOF,0.0031,0.0017,0.0031,0.0045,0.0028
PaySim,U,OneClassSVM,0.1054,0.0536,0.1047,0.1719,0.1184
PaySim,U,DBSCAN,0.0248,0.0128,0.0245,0.0385,0.0257
PaySim,U,KMeans,0.0419,0.0217,0.0417,0.0673,0.0455
PaySim,U,Ensemble,0.1502,0.0922,0.1501,0.2073,0.1151
PaySim,N,IsolationForest,0.0165,0.0091,0.0165,0.0255,0.0165
PaySim,N,LOF,0.003,0.0017,0.003,0.0045,0.0028
PaySim,N,OneClassSVM,0.1018,0.0527,0.1009,0.1637,0.111
PaySim,N,DBSCAN,0.0248,0.0128,0.0245,0.0385,0.0257
PaySim,N,KMeans,0.0458,0.0237,0.0454,0.0726,0.0489
PaySim,N,Ensemble,0.1706,0.1101,0.1704,0.2268,0.1167
