dataset,regime,detector,config,val_PR_AUC,test_PR_AUC,n_neighbors,k,eps_scale,min_samples,gamma,n_estimators
ULB,U,LOF,"{""n_neighbors"": 50}",0.1969,0.3175,50.0,,,,,
ULB,U,LOF,"{""n_neighbors"": 100}",0.1343,0.2577,100.0,,,,,
ULB,U,LOF,"{""n_neighbors"": 20}",0.101,0.0763,20.0,,,,,
ULB,U,LOF,"{""n_neighbors"": 10}",0.0094,0.0034,10.0,,,,,
ULB,U,LOF,"{""n_neighbors"": 5}",0.0018,0.0014,5.0,,,,,
ULB,U,KMeans,"{""k"": 16}",0.0355,0.0794,,16.0,,,,
ULB,U,KMeans,"{""k"": 8}",0.0347,0.0679,,8.0,,,,
ULB,U,KMeans,"{""k"": 2}",0.0228,0.0448,,2.0,,,,
ULB,U,KMeans,"{""k"": 4}",0.0223,0.0469,,4.0,,,,
ULB,U,KMeans,"{""k"": 32}",0.0195,0.0329,,32.0,,,,
ULB,U,DBSCAN,"{""eps_scale"": 0.25}",0.0321,0.0791,,,0.25,,,
ULB,U,DBSCAN,"{""eps_scale"": 0.5}",0.0321,0.0791,,,0.5,,,
ULB,U,DBSCAN,"{""min_samples"": 5}",0.0321,0.0791,,,,5.0,,
ULB,U,DBSCAN,"{""eps_scale"": 4.0}",0.0147,0.028,,,4.0,,,
ULB,U,DBSCAN,"{""eps_scale"": 2.0}",0.0136,0.026,,,2.0,,,
ULB,U,DBSCAN,"{""eps_scale"": 1.0}",0.013,0.0247,,,1.0,,,
ULB,U,DBSCAN,"{""min_samples"": 25}",0.0129,0.0245,,,,25.0,,
ULB,U,OneClassSVM,"{""gamma"": ""scale""}",0.0379,0.0839,,,,,scale,
ULB,U,OneClassSVM,"{""gamma"": 0.1}",0.0354,0.0856,,,,,0.1,
ULB,U,OneClassSVM,"{""gamma"": 0.01}",0.0322,0.0699,,,,,0.01,
ULB,U,IsolationForest,"{""n_estimators"": 100}",0.0272,0.0518,,,,,,100.0
ULB,U,IsolationForest,"{""n_estimators"": 200}",0.0271,0.0546,,,,,,200.0
ULB,U,IsolationForest,"{""n_estimators"": 400}",0.0269,0.0545,,,,,,400.0
ULB,N,LOF,"{""n_neighbors"": 20}",0.6307,0.6032,20.0,,,,,
ULB,N,LOF,"{""n_neighbors"": 10}",0.5645,0.5462,10.0,,,,,
ULB,N,LOF,"{""n_neighbors"": 50}",0.4184,0.4672,50.0,,,,,
ULB,N,LOF,"{""n_neighbors"": 100}",0.1742,0.2859,100.0,,,,,
ULB,N,LOF,"{""n_neighbors"": 5}",0.0451,0.0162,5.0,,,,,
ULB,N,KMeans,"{""k"": 32}",0.0485,0.1021,,32.0,,,,
ULB,N,KMeans,"{""k"": 16}",0.0473,0.1048,,16.0,,,,
ULB,N,KMeans,"{""k"": 8}",0.0302,0.0673,,8.0,,,,
ULB,N,KMeans,"{""k"": 2}",0.0229,0.0451,,2.0,,,,
ULB,N,KMeans,"{""k"": 4}",0.0224,0.0472,,4.0,,,,
ULB,N,DBSCAN,"{""eps_scale"": 4.0}",0.0151,0.029,,,4.0,,,
ULB,N,DBSCAN,"{""eps_scale"": 0.5}",0.0146,0.029,,,0.5,,,
ULB,N,DBSCAN,"{""eps_scale"": 0.25}",0.0146,0.0289,,,0.25,,,
ULB,N,DBSCAN,"{""eps_scale"": 2.0}",0.0135,0.0258,,,2.0,,,
ULB,N,DBSCAN,"{""min_samples"": 5}",0.0133,0.0252,,,,5.0,,
ULB,N,DBSCAN,"{""eps_scale"": 1.0}",0.0132,0.025,,,1.0,,,
