dataset,members,budget,frauds_mean,degenerate,mean,std,n,lo,hi
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,500,0.6,16,0.1201,0.0791,4,0.0132,0.1634
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,1000,0.95,16,0.1771,0.0187,4,0.1607,0.1958
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,2500,2.45,5,0.1477,0.0587,15,0.0058,0.1954
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,5000,5.1,0,0.1494,0.0648,20,0.0058,0.2269
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,10000,10.75,0,0.1264,0.0862,20,0.005,0.2345
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,25000,25.5,0,0.0996,0.0899,20,0.0102,0.2624
ULB,IsolationForest+LOF+OneClassSVM+DBSCAN+KMeans,56961,57.0,0,0.0653,,1,0.0653,0.0653
ULB,IsolationForest+LOF+OneClassSVM+KMeans,500,0.6,16,0.1354,0.0893,4,0.0147,0.1864
ULB,IsolationForest+LOF+OneClassSVM+KMeans,1000,0.95,16,0.1821,0.0032,4,0.1793,0.1861
ULB,IsolationForest+LOF+OneClassSVM+KMeans,2500,2.45,5,0.1617,0.0624,15,0.0075,0.2004
ULB,IsolationForest+LOF+OneClassSVM+KMeans,5000,5.1,0,0.1624,0.0662,20,0.0068,0.2053
ULB,IsolationForest+LOF+OneClassSVM+KMeans,10000,10.75,0,0.1353,0.0835,20,0.0063,0.2179
ULB,IsolationForest+LOF+OneClassSVM+KMeans,25000,25.5,0,0.1203,0.0774,20,0.0182,0.2296
ULB,IsolationForest+LOF+OneClassSVM+KMeans,56961,57.0,0,0.122,,1,0.122,0.122
