budget,n_frauds_drawn,seed,PR_AUC,degenerate
500,2,0,0.16381999527000876,0
500,0,1,,1
500,2,2,0.15828852843115016,0
500,0,3,,1
500,0,4,,1
500,0,5,,1
500,1,6,,1
500,0,7,,1
500,0,8,,1
500,2,9,0.001543959925742107,0
500,1,10,,1
500,0,11,,1
500,1,12,,1
500,0,13,,1
500,0,14,,1
500,0,15,,1
500,0,16,,1
500,0,17,,1
500,2,18,0.1567050823219805,0
500,1,19,,1
1000,2,0,0.18994029999572157,0
1000,1,1,,1
1000,1,2,,1
1000,0,3,,1
1000,1,4,,1
1000,0,5,,1
1000,0,6,,1
1000,1,7,,1
1000,1,8,,1
1000,2,9,0.16069345256625023,0
1000,0,10,,1
1000,2,11,0.19629528221714188,0
1000,3,12,0.16134085304854184,0
1000,1,13,,1
1000,0,14,,1
1000,0,15,,1
1000,1,16,,1
1000,1,17,,1
1000,1,18,,1
1000,1,19,,1
2500,2,0,0.1639534957085219,0
2500,3,1,0.16793480326004775,0
2500,1,2,,1
2500,3,3,0.003677664330521014,0
2500,4,4,0.1893821968408095,0
2500,1,5,,1
2500,3,6,0.19508492793584264,0
2500,1,7,,1
2500,4,8,0.009854188357050722,0
2500,3,9,0.16048996900572754,0
2500,2,10,0.15819760089762067,0
2500,1,11,,1
2500,3,12,0.1595000648149257,0
2500,5,13,0.1650061986348714,0
2500,2,14,0.1604815776446186,0
2500,2,15,0.19560556855517644,0
2500,1,16,,1
2500,3,17,0.15872887524925058,0
2500,3,18,0.16183048506241662,0
2500,2,19,0.1655380871744762,0
5000,5,0,0.16595460747633953,0
5000,3,1,0.1710635991732986,0
5000,4,2,0.16281163482488994,0
5000,5,3,0.004495515417391113,0
5000,5,4,0.19345115782139122,0
5000,4,5,0.16342396566093811,0
5000,6,6,0.007311156009187986,0
5000,3,7,0.15904919740802928,0
5000,6,8,0.011557492816068415,0
5000,9,9,0.1719807547378419,0
5000,8,10,0.18160206210796664,0
5000,3,11,0.16250747995023013,0
5000,9,12,0.17113863332728385,0
5000,8,13,0.16618358678765163,0
5000,4,14,0.16609413581074758,0
5000,5,15,0.19500331570116997,0
5000,4,16,0.1580089109425889,0
5000,4,17,0.15359829581667192,0
5000,5,18,0.2557650724982295,0
5000,2,19,0.16678566230733535,0
10000,13,0,0.10411058804141006,0
10000,9,1,0.005888349528928055,0
10000,11,2,0.027178647156955723,0
10000,11,3,0.009455841065862787,0
10000,7,4,0.20215174766855304,0
10000,8,5,0.17737036935864472,0
10000,13,6,0.01039353452464981,0
10000,8,7,0.15463559405176494,0
10000,11,8,0.024696738156516247,0
10000,14,9,0.05397769616717399,0
10000,14,10,0.17103018885907634,0
10000,10,11,0.20287635297847562,0
10000,15,12,0.00420722127354256,0
10000,16,13,0.20001549179910474,0
10000,10,14,0.20558500294464382,0
10000,8,15,0.20153167753529946,0
10000,9,16,0.1881082326634461,0
10000,9,17,0.15892569594608605,0
10000,10,18,0.2606641333638402,0
10000,9,19,0.16459150400773867,0
25000,29,0,0.19844675586617858,0
25000,23,1,0.0456720234234493,0
25000,26,2,0.12039498926798493,0
25000,22,3,0.013515867811423506,0
25000,22,4,0.03458584397697131,0
25000,20,5,0.010026898308722994,0
25000,25,6,0.013292502586238679,0
25000,29,7,0.018399669347778935,0
25000,29,8,0.08191967900735972,0
25000,37,9,0.20759613499230425,0
25000,25,10,0.1906070937623425,0
25000,24,11,0.19984423973246826,0
25000,29,12,0.012190966496404028,0
25000,27,13,0.06289850813956922,0
25000,28,14,0.06276221585242223,0
25000,20,15,0.2271992608206272,0
25000,27,16,0.01038327738315269,0
25000,21,17,0.1386769743609087,0
25000,25,18,0.04968906227580242,0
25000,22,19,0.2943141873031611,0
56961,57,0,0.06525352541945902,0
