regime,detector,Precision,Recall,F1,ROC_AUC,PR_AUC,TP,FP,n_alerts
N,DBSCAN,0.1179,0.0294,0.047,0.8407,0.0248,125.0,935.0,1060.0
N,Ensemble,0.3147,0.0978,0.1492,0.9163,0.1706,416.0,906.0,1322.0
N,IsolationForest,0.0309,0.0073,0.0118,0.8133,0.0165,31.0,972.0,1003.0
N,KMeans,0.1258,0.0327,0.0519,0.8628,0.0458,139.0,966.0,1105.0
N,LOF,0.0001,0.0082,0.0002,0.493,0.003,35.0,374142.0,374177.0
N,OneClassSVM,0.2675,0.0907,0.1355,0.8708,0.1018,386.0,1057.0,1443.0
O,DBSCAN,0.0125,0.0002,0.0005,0.8407,0.0248,1.0,79.0,80.0
O,Ensemble,0.0417,0.0007,0.0014,0.9178,0.1502,3.0,69.0,72.0
O,IsolationForest,0.0,0.0,0.0,0.813,0.0161,0.0,43.0,43.0
O,KMeans,0.0068,0.0002,0.0005,0.8689,0.0419,1.0,146.0,147.0
O,LOF,0.0,0.0,0.0,0.4999,0.0031,0.0,343558.0,343558.0
O,OneClassSVM,0.2849,0.0623,0.1022,0.8738,0.1048,265.0,665.0,930.0
U,DBSCAN,0.1179,0.0294,0.047,0.8407,0.0248,125.0,935.0,1060.0
U,Ensemble,0.2456,0.0557,0.0908,0.9178,0.1502,237.0,728.0,965.0
U,IsolationForest,0.0385,0.0078,0.0129,0.813,0.0161,33.0,824.0,857.0
U,KMeans,0.1214,0.0355,0.0549,0.8689,0.0419,151.0,1093.0,1244.0
U,LOF,0.0,0.0,0.0,0.4999,0.0031,0.0,358002.0,358002.0
U,OneClassSVM,0.2609,0.0898,0.1336,0.8757,0.1054,382.0,1082.0,1464.0
