regime,detector,Precision,Recall,F1,ROC_AUC,PR_AUC,TP,FP,n_alerts
N,DBSCAN,0.0,0.0,0.0,0.9437,0.025,0.0,179.0,179.0
N,Ensemble,0.2176,0.56,0.3134,0.9639,0.14,42.0,151.0,193.0
N,IsolationForest,0.0272,0.0667,0.0386,0.9442,0.0369,5.0,179.0,184.0
N,KMeans,0.0894,0.2133,0.126,0.9671,0.0673,16.0,163.0,179.0
N,LOF,0.0932,0.7867,0.1667,0.9266,0.6032,59.0,574.0,633.0
N,OneClassSVM,0.1939,0.5067,0.2804,0.9539,0.1248,38.0,158.0,196.0
O,DBSCAN,0.0,0.0,0.0,0.9382,0.0247,0.0,75.0,75.0
O,Ensemble,0.0,0.0,0.0,0.9585,0.0695,0.0,73.0,73.0
O,IsolationForest,0.0,0.0,0.0,0.9484,0.0546,0.0,83.0,83.0
O,KMeans,0.0,0.0,0.0,0.9668,0.0679,0.0,75.0,75.0
O,LOF,0.1023,0.2933,0.1517,0.8178,0.0763,22.0,193.0,215.0
O,OneClassSVM,0.0787,0.0933,0.0854,0.9473,0.0838,7.0,82.0,89.0
U,DBSCAN,0.0,0.0,0.0,0.9382,0.0247,0.0,175.0,175.0
U,Ensemble,0.1117,0.28,0.1597,0.9585,0.0695,21.0,167.0,188.0
U,IsolationForest,0.0655,0.1467,0.0905,0.9484,0.0546,11.0,157.0,168.0
U,KMeans,0.0909,0.24,0.1319,0.9668,0.0679,18.0,180.0,198.0
U,LOF,0.0431,0.36,0.077,0.8178,0.0763,27.0,599.0,626.0
U,OneClassSVM,0.1313,0.3467,0.1905,0.9474,0.0839,26.0,172.0,198.0
