dataset,regime,detector,fit_s,score_s_per_1k,decision_us_p50,decision_us_p95,peak_mem_MB,alerts,alerts_per_10k
ULB,N,IsolationForest,6.3,0.0311,6311.6,6546.175,10.3,184,32.3
ULB,N,LOF,1.02,0.1127,14617.9,19656.57,27.9,633,111.1
ULB,N,OneClassSVM,0.98,0.1334,301.7,355.065,17.8,196,34.4
ULB,N,DBSCAN,0.87,0.0006,23464.45,28567.14,11.3,179,31.4
ULB,N,KMeans,8.87,0.0029,516.1,644.355,42.3,179,31.4
PaySim,N,IsolationForest,11.93,0.025,6279.25,6869.82,221.6,1003,7.9
PaySim,N,LOF,1.93,0.2051,19052.2,19756.83,825.0,374177,2940.4
PaySim,N,OneClassSVM,0.33,0.0507,260.5,294.71,153.9,1443,11.3
PaySim,N,DBSCAN,1.11,0.0001,22064.0,23943.825,52.3,1060,8.3
PaySim,N,KMeans,105.75,0.0011,502.7,592.1,397.6,1105,8.7
