regime,detector,with_delta,without_delta,delta_effect,share_from_delta
N,DBSCAN,0.02480496478288824,0.022621403410018965,0.0022,0.089
N,Ensemble,0.17058697853235397,0.04202727145024794,0.1286,0.754
N,IsolationForest,0.016475860057613735,0.013739183508226251,0.0027,0.164
N,KMeans,0.045800538943115504,0.03685049463722939,0.009,0.197
N,LOF,0.0030319200122619254,0.002525912148801343,0.0005,0.165
N,OneClassSVM,0.10176947215072668,0.04697868842196971,0.0548,0.538
U,DBSCAN,0.024800190516075682,0.05563425960459745,-0.0308,-1.242
U,Ensemble,0.15018493983419484,0.01905084137133864,0.1311,0.873
U,IsolationForest,0.01609538541908355,0.014250500612806848,0.0018,0.112
U,KMeans,0.041949937096720076,0.03685141277118712,0.0051,0.122
U,LOF,0.0030799352569791417,0.002558531081531741,0.0005,0.162
U,OneClassSVM,0.10543568280199875,0.05515201539864423,0.0503,0.477
