dataset,regime,detector,0.001,0.005,0.01,0.02
PaySim,N,DBSCAN,0.0005,0.047,0.0914,0.0502
PaySim,N,Ensemble,0.0087,0.1492,0.0722,0.0268
PaySim,N,IsolationForest,0.0019,0.0118,0.0218,0.0431
PaySim,N,KMeans,0.0005,0.0519,0.1159,0.041
PaySim,N,LOF,0.0001,0.0002,0.0002,0.0003
PaySim,N,OneClassSVM,0.112,0.1355,0.0341,0.0191
PaySim,U,DBSCAN,0.0005,0.047,0.0914,0.05
PaySim,U,Ensemble,0.0023,0.0908,0.0866,0.0279
PaySim,U,IsolationForest,0.0,0.0129,0.0255,0.0426
PaySim,U,KMeans,0.0005,0.0549,0.1057,0.0974
PaySim,U,LOF,0.0,0.0,0.0,0.0001
PaySim,U,OneClassSVM,0.1004,0.1336,0.0455,0.0191
ULB,N,DBSCAN,0.0,0.0,0.0255,0.0609
ULB,N,Ensemble,0.0,0.3134,0.2188,0.1025
ULB,N,IsolationForest,0.0,0.0386,0.0968,0.0806
ULB,N,KMeans,0.0,0.126,0.1649,0.1127
ULB,N,LOF,0.6429,0.1667,0.0826,0.0437
ULB,N,OneClassSVM,0.0,0.2804,0.2336,0.1207
ULB,U,DBSCAN,0.0,0.0,0.0255,0.0608
ULB,U,Ensemble,0.0,0.1597,0.1604,0.0917
ULB,U,IsolationForest,0.0,0.0905,0.152,0.089
ULB,U,KMeans,0.0,0.1319,0.1529,0.1172
ULB,U,LOF,0.1757,0.077,0.044,0.0249
ULB,U,OneClassSVM,0.0,0.1905,0.1759,0.1054
