dataset,regime,detector,0.001,0.005,0.01,0.02
PaySim,N,DBSCAN,0.0248,0.0248,0.0248,0.0248
PaySim,N,Ensemble,0.1707,0.1706,0.1705,0.1706
PaySim,N,IsolationForest,0.0165,0.0165,0.0165,0.0165
PaySim,N,KMeans,0.0458,0.0458,0.0458,0.0458
PaySim,N,LOF,0.003,0.003,0.003,0.003
PaySim,N,OneClassSVM,0.1042,0.1018,0.0986,0.0954
PaySim,U,DBSCAN,0.0248,0.0248,0.0248,0.0248
PaySim,U,Ensemble,0.1502,0.1502,0.1502,0.15
PaySim,U,IsolationForest,0.0161,0.0161,0.0161,0.0161
PaySim,U,KMeans,0.0419,0.0419,0.0419,0.0419
PaySim,U,LOF,0.0031,0.0031,0.0031,0.0031
PaySim,U,OneClassSVM,0.1045,0.1054,0.1055,0.0981
ULB,N,DBSCAN,0.025,0.025,0.025,0.025
ULB,N,Ensemble,0.14,0.14,0.1407,0.1415
ULB,N,IsolationForest,0.0369,0.0369,0.0369,0.0369
ULB,N,KMeans,0.0673,0.0673,0.0673,0.0673
ULB,N,LOF,0.6032,0.6032,0.6032,0.6032
ULB,N,OneClassSVM,0.1247,0.1248,0.1349,0.1376
ULB,U,DBSCAN,0.0247,0.0247,0.0247,0.0247
ULB,U,Ensemble,0.0695,0.0695,0.0695,0.0693
ULB,U,IsolationForest,0.0546,0.0546,0.0546,0.0546
ULB,U,KMeans,0.0679,0.0679,0.0679,0.0679
ULB,U,LOF,0.0763,0.0763,0.0763,0.0763
ULB,U,OneClassSVM,0.084,0.0839,0.0822,0.0802
