dataset,regime,detector,0.001,0.005,0.01,0.02
PaySim,N,DBSCAN,0.0101,0.1179,0.0833,0.0299
PaySim,N,Ensemble,0.19,0.3147,0.0382,0.0136
PaySim,N,IsolationForest,0.069,0.0309,0.0219,0.0283
PaySim,N,KMeans,0.0101,0.1258,0.1026,0.0215
PaySim,N,LOF,0.0001,0.0001,0.0001,0.0002
PaySim,N,OneClassSVM,0.2829,0.2675,0.0175,0.0096
PaySim,U,DBSCAN,0.0101,0.1179,0.0833,0.0298
PaySim,U,Ensemble,0.0495,0.2456,0.0464,0.0142
PaySim,U,IsolationForest,0.0,0.0385,0.0258,0.0278
PaySim,U,KMeans,0.0053,0.1214,0.0965,0.0613
PaySim,U,LOF,0.0,0.0,0.0,0.0001
PaySim,U,OneClassSVM,0.2814,0.2609,0.0236,0.0096
ULB,N,DBSCAN,0.0,0.0,0.0152,0.0331
ULB,N,Ensemble,0.0,0.2176,0.1278,0.0547
ULB,N,IsolationForest,0.0,0.0272,0.0575,0.0436
ULB,N,KMeans,0.0,0.0894,0.0984,0.0613
ULB,N,LOF,0.6923,0.0932,0.0435,0.0224
ULB,N,OneClassSVM,0.0,0.1939,0.138,0.0651
ULB,U,DBSCAN,0.0,0.0,0.0152,0.0331
ULB,U,Ensemble,0.0,0.1117,0.0933,0.0489
ULB,U,IsolationForest,0.0,0.0655,0.0898,0.0481
ULB,U,KMeans,0.0,0.0909,0.0905,0.0634
ULB,U,LOF,0.1781,0.0431,0.0232,0.0128
ULB,U,OneClassSVM,0.0,0.1313,0.1039,0.0567
