dataset,regime,detector,0.001,0.005,0.01,0.02
PaySim,N,DBSCAN,0.0002,0.0294,0.1013,0.1551
PaySim,N,Ensemble,0.0045,0.0978,0.6634,0.8674
PaySim,N,IsolationForest,0.0009,0.0073,0.0216,0.0903
PaySim,N,KMeans,0.0002,0.0327,0.1331,0.4744
PaySim,N,LOF,0.0061,0.0082,0.0108,0.0143
PaySim,N,OneClassSVM,0.0698,0.0907,0.6171,0.9248
PaySim,U,DBSCAN,0.0002,0.0294,0.1013,0.1549
PaySim,U,Ensemble,0.0012,0.0557,0.6378,0.8637
PaySim,U,IsolationForest,0.0,0.0078,0.0252,0.0907
PaySim,U,KMeans,0.0002,0.0355,0.1168,0.237
PaySim,U,LOF,0.0,0.0,0.0,0.0066
PaySim,U,OneClassSVM,0.0611,0.0898,0.5973,0.9403
ULB,N,DBSCAN,0.0,0.0,0.08,0.3733
ULB,N,Ensemble,0.0,0.56,0.76,0.8133
ULB,N,IsolationForest,0.0,0.0667,0.3067,0.5333
ULB,N,KMeans,0.0,0.2133,0.5067,0.6933
ULB,N,LOF,0.6,0.7867,0.8267,0.8267
ULB,N,OneClassSVM,0.0,0.5067,0.76,0.8267
ULB,U,DBSCAN,0.0,0.0,0.08,0.3733
ULB,U,Ensemble,0.0,0.28,0.5733,0.7333
ULB,U,IsolationForest,0.0,0.1467,0.4933,0.6
ULB,U,KMeans,0.0,0.24,0.4933,0.7733
ULB,U,LOF,0.1733,0.36,0.4133,0.4933
ULB,U,OneClassSVM,0.0,0.3467,0.5733,0.7467
