dataset,regime,detector,0.001,0.005,0.01,0.02
PaySim,N,DBSCAN,99.0,1060.0,5174.0,22049.0
PaySim,N,Ensemble,100.0,1322.0,73960.0,270770.0
PaySim,N,IsolationForest,58.0,1003.0,4203.0,13547.0
PaySim,N,KMeans,99.0,1105.0,5517.0,94074.0
PaySim,N,LOF,364885.0,374177.0,386218.0,404045.0
PaySim,N,OneClassSVM,1050.0,1443.0,149778.0,408454.0
PaySim,U,DBSCAN,99.0,1060.0,5175.0,22120.0
PaySim,U,Ensemble,101.0,965.0,58407.0,258962.0
PaySim,U,IsolationForest,54.0,857.0,4143.0,13864.0
PaySim,U,KMeans,190.0,1244.0,5152.0,16445.0
PaySim,U,LOF,346505.0,358002.0,369310.0,390340.0
PaySim,U,OneClassSVM,924.0,1464.0,107556.0,415663.0
ULB,N,DBSCAN,30.0,179.0,395.0,845.0
ULB,N,Ensemble,40.0,193.0,446.0,1115.0
ULB,N,IsolationForest,39.0,184.0,400.0,917.0
ULB,N,KMeans,41.0,179.0,386.0,848.0
ULB,N,LOF,65.0,633.0,1426.0,2765.0
ULB,N,OneClassSVM,38.0,196.0,413.0,952.0
ULB,U,DBSCAN,30.0,175.0,396.0,846.0
ULB,U,Ensemble,44.0,188.0,461.0,1125.0
ULB,U,IsolationForest,46.0,168.0,412.0,936.0
ULB,U,KMeans,45.0,198.0,409.0,915.0
ULB,U,LOF,73.0,626.0,1334.0,2899.0
ULB,U,OneClassSVM,36.0,198.0,414.0,988.0
