dataset,regime,detector,pr_mean,pr_std,lift_mean,lift_std,n,lo,hi,cv
PaySim,N,DBSCAN,0.0495,0.105,9.683,12.8486,5,0.0016,0.2373,2.121
PaySim,N,Ensemble,0.1089,0.1414,72.9488,85.0433,5,0.0064,0.3439,1.298
PaySim,N,IsolationForest,0.01,0.0162,4.6001,1.6905,5,0.0019,0.0389,1.62
PaySim,N,KMeans,0.0182,0.0299,8.0219,3.4931,5,0.0026,0.0715,1.643
PaySim,N,LOF,0.0018,0.0025,0.9715,0.0725,5,0.0006,0.0063,1.389
PaySim,N,OneClassSVM,0.0668,0.0945,38.8718,36.1255,5,0.0052,0.231,1.415
PaySim,O,DBSCAN,0.0094,0.0153,4.1816,1.4193,5,0.0016,0.0366,1.628
PaySim,O,Ensemble,0.0826,0.1147,49.5715,47.5214,5,0.0062,0.2809,1.389
PaySim,O,IsolationForest,0.0106,0.0182,4.2222,1.3136,5,0.0016,0.043,1.717
PaySim,O,KMeans,0.0134,0.0193,7.349,3.3937,5,0.0026,0.0477,1.44
PaySim,O,LOF,0.0017,0.0025,0.9703,0.0894,5,0.0006,0.0062,1.471
PaySim,O,OneClassSVM,0.0421,0.064,21.7594,16.1237,5,0.0038,0.1552,1.52
PaySim,U,DBSCAN,0.0094,0.0153,4.1816,1.4193,5,0.0016,0.0366,1.628
PaySim,U,Ensemble,0.0823,0.1147,49.0929,46.3832,5,0.0064,0.2809,1.394
PaySim,U,IsolationForest,0.0106,0.0182,4.2222,1.3136,5,0.0016,0.043,1.717
PaySim,U,KMeans,0.0134,0.0193,7.349,3.3937,5,0.0026,0.0477,1.44
PaySim,U,LOF,0.0017,0.0025,0.9703,0.0894,5,0.0006,0.0062,1.471
PaySim,U,OneClassSVM,0.0467,0.0724,23.4014,17.1781,5,0.0038,0.1747,1.55
ULB,N,DBSCAN,0.0787,0.1029,42.428,45.1598,3,0.014,0.1974,1.307
ULB,N,Ensemble,0.2866,0.1292,206.9498,109.683,3,0.1425,0.3921,0.451
ULB,N,IsolationForest,0.1413,0.1948,74.7536,87.0902,3,0.021,0.3661,1.379
ULB,N,KMeans,0.1534,0.1819,85.0123,77.2641,3,0.0304,0.3623,1.186
ULB,N,LOF,0.2353,0.2849,190.5407,212.257,3,0.0024,0.553,1.211
ULB,N,OneClassSVM,0.18,0.1287,113.9206,38.1533,3,0.0993,0.3285,0.715
ULB,O,DBSCAN,0.0802,0.1019,43.5806,44.3476,3,0.0143,0.1976,1.271
ULB,O,Ensemble,0.051,0.0025,38.4383,15.1309,3,0.0488,0.0537,0.049
ULB,O,IsolationForest,0.1375,0.1694,75.3264,72.9743,3,0.0255,0.3323,1.232
ULB,O,KMeans,0.0729,0.0605,44.2821,21.0676,3,0.0268,0.1414,0.83
ULB,O,LOF,0.0219,0.0357,16.6181,27.1209,3,0.0012,0.0631,1.63
ULB,O,OneClassSVM,0.0945,0.0733,57.9224,26.2056,3,0.0314,0.1749,0.776
ULB,U,DBSCAN,0.0802,0.1019,43.5806,44.3476,3,0.0143,0.1976,1.271
ULB,U,Ensemble,0.051,0.0025,38.4418,15.1305,3,0.0488,0.0537,0.049
ULB,U,IsolationForest,0.1375,0.1694,75.3264,72.9743,3,0.0255,0.3323,1.232
ULB,U,KMeans,0.0729,0.0605,44.2821,21.0676,3,0.0268,0.1414,0.83
ULB,U,LOF,0.0219,0.0357,16.6181,27.1209,3,0.0012,0.0631,1.63
ULB,U,OneClassSVM,0.0945,0.0734,57.9234,26.2229,3,0.0313,0.175,0.777
