dataset,detector,n_train,fit_s,score_s_per_1k
ULB,IsolationForest,10000,0.608,0.0285
ULB,LOF,10000,0.313,0.0657
ULB,OneClassSVM,10000,0.27,0.0736
ULB,DBSCAN,10000,0.191,0.0032
ULB,KMeans,10000,0.56,0.0022
ULB,IsolationForest,50000,0.973,0.0278
ULB,LOF,50000,0.812,0.1206
ULB,OneClassSVM,50000,0.826,0.1227
ULB,DBSCAN,50000,0.706,0.099
ULB,KMeans,50000,1.932,0.0021
ULB,IsolationForest,100000,1.107,0.0282
ULB,LOF,100000,0.824,0.1201
ULB,OneClassSVM,100000,0.821,0.1277
ULB,DBSCAN,100000,0.698,0.0042
ULB,KMeans,100000,3.793,0.0021
PaySim,IsolationForest,10000,0.569,0.0272
PaySim,LOF,10000,0.477,0.1069
PaySim,OneClassSVM,10000,0.063,0.0177
PaySim,DBSCAN,10000,0.415,0.0038
PaySim,KMeans,10000,0.372,0.0014
PaySim,IsolationForest,50000,0.946,0.0267
PaySim,LOF,50000,1.744,0.1753
PaySim,OneClassSVM,50000,0.251,0.0346
PaySim,DBSCAN,50000,1.481,0.1174
PaySim,KMeans,50000,1.304,0.0014
PaySim,IsolationForest,100000,1.083,0.026
PaySim,LOF,100000,0.999,0.1422
PaySim,OneClassSVM,100000,0.242,0.0334
PaySim,DBSCAN,100000,0.832,0.0032
PaySim,KMeans,100000,2.365,0.0014
PaySim,IsolationForest,200000,1.324,0.026
PaySim,LOF,200000,2.068,0.2056
PaySim,OneClassSVM,200000,0.229,0.0314
PaySim,DBSCAN,200000,1.29,0.0045
PaySim,KMeans,200000,4.554,0.0014
