dataset,regime,detector,rule,mean,std,min,max
PaySim,N,DBSCAN,random,0.0559,0.0425,0.0247,0.1082
PaySim,N,DBSCAN,tail,0.1521,,0.1521,0.1521
PaySim,N,LOF,random,0.0031,0.0001,0.003,0.0032
PaySim,N,LOF,tail,0.0025,,0.0025,0.0025
PaySim,N,OneClassSVM,random,0.1045,0.0065,0.0994,0.1149
PaySim,N,OneClassSVM,tail,0.1341,,0.1341,0.1341
PaySim,U,DBSCAN,random,0.038,0.0177,0.0248,0.0607
PaySim,U,DBSCAN,tail,0.0583,,0.0583,0.0583
PaySim,U,LOF,random,0.003,0.0001,0.003,0.0031
PaySim,U,LOF,tail,0.0024,,0.0024,0.0024
PaySim,U,OneClassSVM,random,0.0665,0.0235,0.0475,0.1054
PaySim,U,OneClassSVM,tail,0.0842,,0.0842,0.0842
ULB,N,DBSCAN,random,0.0249,0.0003,0.0246,0.0252
ULB,N,DBSCAN,tail,0.0267,,0.0267,0.0267
ULB,N,LOF,random,0.5572,0.0329,0.5201,0.6032
ULB,N,LOF,tail,0.0036,,0.0036,0.0036
ULB,N,OneClassSVM,random,0.1328,0.0256,0.1,0.1708
ULB,N,OneClassSVM,tail,0.1001,,0.1001,0.1001
ULB,U,DBSCAN,random,0.0259,0.0019,0.0246,0.0291
ULB,U,DBSCAN,tail,0.0267,,0.0267,0.0267
ULB,U,LOF,random,0.0488,0.0234,0.0149,0.0763
ULB,U,LOF,tail,0.0011,,0.0011,0.0011
ULB,U,OneClassSVM,random,0.0646,0.0131,0.0541,0.0839
ULB,U,OneClassSVM,tail,0.0559,,0.0559,0.0559
