rule,dataset,regime,detector,seed,PR_AUC,n_ref
random,ULB,U,LOF,0,0.07627939933401451,20000
random,ULB,U,LOF,1,0.04218532599036381,20000
random,ULB,U,LOF,2,0.06392921789365297,20000
random,ULB,U,LOF,3,0.04656218936789344,20000
random,ULB,U,LOF,4,0.014894248958939586,20000
random,ULB,U,OneClassSVM,0,0.0838610899727195,20000
random,ULB,U,OneClassSVM,1,0.05596865937265927,20000
random,ULB,U,OneClassSVM,2,0.07252703756245127,20000
random,ULB,U,OneClassSVM,3,0.054138070212421605,20000
random,ULB,U,OneClassSVM,4,0.05642162255584538,20000
random,ULB,U,DBSCAN,0,0.024725100118224274,3
random,ULB,U,DBSCAN,1,0.02582300925001651,40
random,ULB,U,DBSCAN,2,0.029053441452942058,14
random,ULB,U,DBSCAN,3,0.02457783821149673,19
random,ULB,U,DBSCAN,4,0.02508199669854567,25
random,ULB,N,LOF,0,0.603157863943587,20000
random,ULB,N,LOF,1,0.5544161114695375,20000
random,ULB,N,LOF,2,0.5744127267544032,20000
random,ULB,N,LOF,3,0.5200648724734428,20000
random,ULB,N,LOF,4,0.5339796968705101,20000
random,ULB,N,OneClassSVM,0,0.12476017332147252,20000
random,ULB,N,OneClassSVM,1,0.17080964024685674,20000
random,ULB,N,OneClassSVM,2,0.13838082680193647,20000
random,ULB,N,OneClassSVM,3,0.13023730106922485,20000
random,ULB,N,OneClassSVM,4,0.10004323592560453,20000
random,ULB,N,DBSCAN,0,0.025021498387405985,46
random,ULB,N,DBSCAN,1,0.025231247721561677,38
random,ULB,N,DBSCAN,2,0.025109529592253727,25
random,ULB,N,DBSCAN,3,0.024604217156146652,8
random,ULB,N,DBSCAN,4,0.024744688398833297,31
random,PaySim,U,LOF,0,0.0030799352569791417,20000
random,PaySim,U,LOF,1,0.002960861958509216,20000
random,PaySim,U,LOF,2,0.002995369905076653,20000
random,PaySim,U,LOF,3,0.0030580613736199383,20000
random,PaySim,U,LOF,4,0.002980839958680989,20000
random,PaySim,U,OneClassSVM,0,0.10543568280199875,20000
random,PaySim,U,OneClassSVM,1,0.04754933095617126,20000
random,PaySim,U,OneClassSVM,2,0.049609522244297294,20000
random,PaySim,U,OneClassSVM,3,0.06044598475157277,20000
random,PaySim,U,OneClassSVM,4,0.06936762991061143,20000
random,PaySim,U,DBSCAN,0,0.024800190516075682,1
random,PaySim,U,DBSCAN,1,0.025082504718098565,1
random,PaySim,U,DBSCAN,2,0.0534627660447268,20000
random,PaySim,U,DBSCAN,3,0.06074094164151257,20000
random,PaySim,U,DBSCAN,4,0.025666304211273683,1
random,PaySim,N,LOF,0,0.0030319200122619254,20000
random,PaySim,N,LOF,1,0.0031228320566471968,20000
random,PaySim,N,LOF,2,0.0031265600356274958,20000
random,PaySim,N,LOF,3,0.003225541436575329,20000
random,PaySim,N,LOF,4,0.0030574918623022867,20000
random,PaySim,N,OneClassSVM,0,0.10176947215072668,20000
random,PaySim,N,OneClassSVM,1,0.09941727227651107,20000
random,PaySim,N,OneClassSVM,2,0.09962353094341285,20000
random,PaySim,N,OneClassSVM,3,0.10704701988975698,20000
random,PaySim,N,OneClassSVM,4,0.11486125097658398,20000
random,PaySim,N,DBSCAN,0,0.02480496478288824,1
random,PaySim,N,DBSCAN,1,0.02467243563404834,1
random,PaySim,N,DBSCAN,2,0.09621241677304329,20000
random,PaySim,N,DBSCAN,3,0.02563012829663442,1
random,PaySim,N,DBSCAN,4,0.10819204039521546,20000
tail,ULB,U,LOF,0,0.0011491524733242232,20000
tail,ULB,U,OneClassSVM,0,0.05585207865735551,20000
tail,ULB,U,DBSCAN,0,0.026704502206858487,7
tail,ULB,N,LOF,0,0.0035948106486609656,20000
tail,ULB,N,OneClassSVM,0,0.10010593394865797,20000
tail,ULB,N,DBSCAN,0,0.026704502206858487,7
tail,PaySim,U,LOF,0,0.0023780121849233046,20000
tail,PaySim,U,OneClassSVM,0,0.08420292111015236,20000
tail,PaySim,U,DBSCAN,0,0.05831691790255993,20000
tail,PaySim,N,LOF,0,0.0024575009584990055,20000
tail,PaySim,N,OneClassSVM,0,0.1340589842520356,20000
tail,PaySim,N,DBSCAN,0,0.15210964029969676,20000
