dataset,regime,detector,random,tail,rule_effect,ratio
PaySim,N,DBSCAN,0.05590239717636595,0.15210964029969676,-0.0962,0.4
PaySim,N,LOF,0.0031128690806828466,0.0024575009584990055,0.0007,1.3
PaySim,N,OneClassSVM,0.10454370924739831,0.1340589842520356,-0.0295,0.8
PaySim,U,DBSCAN,0.037950541426337456,0.05831691790255993,-0.0204,0.7
PaySim,U,LOF,0.0030150136905731876,0.0023780121849233046,0.0006,1.3
PaySim,U,OneClassSVM,0.0664816301329303,0.08420292111015236,-0.0177,0.8
ULB,N,DBSCAN,0.024942236251240268,0.026704502206858487,-0.0018,0.9
ULB,N,LOF,0.5572062543022961,0.0035948106486609656,0.5536,155.0
ULB,N,OneClassSVM,0.13284623547301902,0.10010593394865797,0.0327,1.3
ULB,U,DBSCAN,0.02585227714624505,0.026704502206858487,-0.0009,1.0
ULB,U,LOF,0.048770076308972864,0.0011491524733242232,0.0476,42.4
ULB,U,OneClassSVM,0.06458329593521941,0.05585207865735551,0.0087,1.2
